ActivityCode,Activity
101A,101 includes 102 and 103
101B,"101 includes 102, 103, 111 and 112"
102A,102 includes 101 and 103
10A,10 includes 11
10B,10 includes 11 and 12
10C,10 includes 12
10D,"10 includes 12, 13 and 14"
10E,"10 includes 12, 13 and 14"
111A,111 includes 112
111B,111 includes 112 and 120
11A,11 includes 12
12A,12 includes 13
131A,131 includes 132
131B,"131 includes 132, 141 and 142"
132A,132 includes 120
132B,"132 includes 101, 102, 103, 141 and 142"
132C,"132 includes 101, 102 and 103"
13A,13 includes 14
13B,13 includes 12
13C,13 includes 10 and 14
141A,141 includes 142
141B,"141 includes 101, 102, 103 and 142"
142A,142 includes 101
14A,14 includes 10
1511A,1511 includes 1512
1511B,1511 includes 1512 and 1513
1511C,1511 includes 1520
1511D,"1511 includes 1512, 1513 and 1514"
1512A,1512 includes 1513
1512B,1512 includes 1513 and 1514
1513A,1513 includes 1514
1514A,1514 includes 2424
1514B,1514 includes 1520
151A,"151 includes 1520, 153, 154 and 155"
151B,151 includes 1520
151C,"151 includes 1520, 153 and 154"
151D,"151 includes 1520, 153, 154, 155 and 1600"
151E,151 includes 153 and 154
1520A,1520 includes 153
1531A,1531 includes 1532
1531B,1531 includes 1532 and 1549
1531C,1531 includes 1533
1531D,1531 includes 1532 and 1533
1532A,1532 includes 1544
1532B,1532 includes 1533
1532C,1532 includes 1531
1533A,1533 includes 154
153A,153 includes 1549
153B,153 includes 1544
153C,153 includes 154
153D,"153 includes 1543, 1544 and 1549"
1541A,1541 includes 1544
1541B,1541 includes 1542
1541C,"1541 includes 1542, 1543 and 1544"
1541D,1541 includes 1542 and 1543
1542A,1542 includes 1543
1542B,"1542 includes 1543, 1544 and 1549"
1542C,1542 includes 1543 and 1544
1543A,1543 includes 1542
1544A,1544 includes 1549
1544B,1544 includes 1532
1549A,1549 includes 1544
1549B,1549 includes 1532
1549C,1549 includes 1542 and 1544
1549D,1549 includes 1541 and 1542
1549E,1549 includes 1513
1549F,1549 includes 1543 and 1544
1549G,1549 includes 1600
